The Lawceraptor,Kentucky,Cincinnati,West Virginia,Maryland,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,UNC,Xavier,Georgia State,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Dayton,Oklahoma,Michigan State,Virginia,Duke,St Johns,Utah,Georgetown,UCLA,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Notre Dame,Kansas,Wisconsin,UNC,Xavier,Arizona,Villanova,Louisville,Oklahoma,Michigan State,Duke,Georgetown,Iowa State,Gonzaga,Kentucky,Kansas,Wisconsin,Arizona,Louisville,Michigan State,Duke,Iowa State,Kentucky,Wisconsin,Michigan State,Duke,Kentucky,Michigan State,Kentucky
Bracketologizer,Kentucky,Purdue,West Virginia,Maryland,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,UNC,Ole Miss,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Dayton,Oklahoma,Michigan State,Virginia,Duke,SDSU,Utah,Georgetown,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Texas,Wichita State,Wisconsin,UNC,Ole Miss,Arizona,Villanova,Northern Iowa,Oklahoma,Virginia,Duke,Utah,Iowa State,Gonzaga,Kentucky,Wichita State,Wisconsin,Arizona,Northern Iowa,Virginia,Utah,Gonzaga,Kentucky,Arizona,Virginia,Utah,Arizona,Virginia,Arizona
CapeBracket 1,Kentucky,Purdue,West Virginia,Maryland,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Wofford,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,Utah,Georgetown,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Notre Dame,Wichita State,Wisconsin,UNC,Xavier,Arizona,Villanova,Northern Iowa,Oklahoma,Michigan State,Duke,Utah,Iowa State,Gonzaga,Kentucky,Notre Dame,Wisconsin,Arizona,Villanova,Michigan State,Duke,Iowa State,Kentucky,Arizona,Villanova,Duke,Kentucky,Duke,Kentucky
Nances Dances,Kentucky,Cincinnati,West Virginia,Maryland,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,UC Irvine,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,Utah,E Washington,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Notre Dame,Wichita State,Wisconsin,UNC,Baylor,Arizona,Villanova,Northern Iowa,Oklahoma,Virginia,Duke,Utah,Iowa State,Gonzaga,Kentucky,Notre Dame,Wisconsin,Arizona,Villanova,Virginia,Duke,Iowa State,Kentucky,Arizona,Villanova,Duke,Arizona,Duke,Duke
Green RAGE!!,Kentucky,Purdue,Buffalo,Maryland,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,St Johns,Utah,E Washington,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Notre Dame,Wichita State,Wisconsin,UNC,Baylor,Arizona,NC State,Northern Iowa,Oklahoma,Michigan State,Duke,Utah,Iowa State,Gonzaga,Kentucky,Wichita State,Wisconsin,Arizona,Northern Iowa,Michigan State,Duke,Iowa State,Kentucky,Arizona,Michigan State,Duke,Kentucky,Duke,Kentucky
He Touched the Ball,Kentucky,Cincinnati,West Virginia,Valparaiso,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,UNC,Xavier,Baylor,VCU,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,St Johns,SF Austin,Georgetown,SMU,Iowa State,Davidson,Gonzaga,Kentucky,West Virginia,Notre Dame,Wichita State,Wisconsin,UNC,Baylor,Arizona,Villanova,Northern Iowa,Oklahoma,Michigan State,Duke,Georgetown,Iowa State,Gonzaga,Kentucky,Wichita State,Wisconsin,Arizona,Northern Iowa,Oklahoma,Duke,Gonzaga,Kentucky,Arizona,Oklahoma,Duke,Kentucky,Oklahoma,Kentucky
megfaust 1,Kentucky,Cincinnati,West Virginia,Maryland,Texas,Notre Dame,Indiana,Kansas,Wisconsin,Oregon,Arkansas,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,Utah,Georgetown,SMU,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Notre Dame,Kansas,Oregon,Arkansas,Baylor,Arizona,NC State,Louisville,Oklahoma,Michigan State,Duke,Georgetown,SMU,Gonzaga,Kentucky,Notre Dame,Arkansas,Arizona,Louisville,Oklahoma,Duke,Gonzaga,Kentucky,Arizona,Louisville,Duke,Kentucky,Louisville,Kentucky
Sparty Magic,Kentucky,Cincinnati,Buffalo,Valparaiso,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Arkansas,UNC,Ole Miss,Baylor,VCU,Arizona,Villanova,LSU,Northern Iowa,UC Irvine,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,SF Austin,E Washington,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Buffalo,Notre Dame,Wichita State,Wisconsin,UNC,Baylor,Arizona,Villanova,Northern Iowa,Oklahoma,Michigan State,Duke,SF Austin,Iowa State,Gonzaga,Kentucky,Notre Dame,Wisconsin,Arizona,Villanova,Michigan State,Duke,Iowa State,Kentucky,Wisconsin,Villanova,Duke,Wisconsin,Duke,Wisconsin
KWFox100 1,Kentucky,Purdue,Buffalo,Maryland,Butler,Notre Dame,Indiana,Kansas,Wisconsin,Oklahoma State,Wofford,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,LSU,Wyoming,Louisville,Providence,Oklahoma,Georgia,Virginia,Duke,St Johns,Utah,Georgetown,UCLA,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Notre Dame,Kansas,Wisconsin,UNC,Xavier,Arizona,Villanova,Louisville,Providence,Virginia,Duke,Georgetown,UCLA,Gonzaga,Kentucky,Notre Dame,Wisconsin,Arizona,Villanova,Virginia,Duke,Gonzaga,Kentucky,Arizona,Villanova,Duke,Kentucky,Duke,Kentucky
Radford Would Beat UK,Kentucky,Cincinnati,West Virginia,Maryland,Texas,Notre Dame,Indiana,Kansas,Wisconsin,Oregon,Arkansas,UNC,Ole Miss,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Georgia,Virginia,Duke,SDSU,Utah,Georgetown,SMU,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Notre Dame,Kansas,Wisconsin,UNC,Baylor,Arizona,Villanova,Louisville,Oklahoma,Virginia,Duke,Utah,SMU,Gonzaga,Kentucky,Kansas,UNC,Arizona,Louisville,Oklahoma,Duke,Gonzaga,Kentucky,UNC,Louisville,Duke,Kentucky,Duke,Kentucky
